,0,1
0,0.0,0.0
1,1.0,1.0860766913317177e-09
2,2.0,2.17082503238071e-09
3,3.0,3.2537080901580964e-09
4,4.0,4.334756334995318e-09
5,5.0,5.414639299833434e-09
6,6.0,6.492959879091813e-09
7,7.0,7.569447262503835e-09
8,8.0,8.64399577747836e-09
9,9.0,9.716479437574108e-09
10,10.0,1.07867420369603e-08
11,11.0,1.1854707719631061e-08
12,12.0,1.292057521758696e-08
13,13.0,1.3983819408127281e-08
14,14.0,1.504507781306174e-08
15,15.0,1.610529097782796e-08
16,16.0,1.71645593759359e-08
17,17.0,1.822246005311132e-08
18,18.0,1.927888830480832e-08
19,19.0,2.0333948922978443e-08
20,20.0,2.138763990848662e-08
21,21.0,2.2439965602275557e-08
22,22.0,2.34909687824964e-08
23,23.0,2.4540901445662877e-08
24,24.0,2.558894221046712e-08
25,25.0,2.6634644667069977e-08
26,26.0,2.767879955593358e-08
27,27.0,2.872171625411624e-08
28,28.0,2.976292448534454e-08
29,29.0,3.0801973270050655e-08
30,30.0,3.183933048470014e-08
31,31.0,3.2875197621903814e-08
32,32.0,3.390894677427054e-08
33,33.0,3.494079911722566e-08
34,34.0,3.5970582434835094e-08
35,35.0,3.699810624431188e-08
36,36.0,3.802395217542964e-08
37,37.0,3.9048440772062823e-08
38,38.0,4.007128003878736e-08
39,39.0,4.109211511566306e-08
40,40.0,4.211136164713404e-08
41,41.0,4.312895623671278e-08
42,42.0,4.414487044212988e-08
43,43.0,4.515935188573342e-08
44,44.0,4.6172264888390856e-08
45,45.0,4.71837491321054e-08
46,46.0,4.819358240711708e-08
47,47.0,4.92016728026792e-08
48,48.0,5.020834468342463e-08
49,49.0,5.121324928181656e-08
50,50.0,5.221639103961408e-08
51,51.0,5.321817859542608e-08
52,52.0,5.421843859028072e-08
53,53.0,5.521687889473692e-08
54,54.0,5.6213263663782944e-08
55,55.0,5.720765976250511e-08
56,56.0,5.8200480217123495e-08
57,57.0,5.9192072235950955e-08
58,58.0,6.018227313247422e-08
59,59.0,6.117098203269042e-08
60,60.0,6.21583355291104e-08
61,61.0,6.314390029901762e-08
62,62.0,6.412762909398336e-08
63,63.0,6.510955912434324e-08
64,64.0,6.608949694594313e-08
65,65.0,6.706703863054749e-08
66,66.0,6.804245226771242e-08
67,67.0,6.901659205783475e-08
68,68.0,6.998947570997764e-08
69,69.0,7.096102695533938e-08
70,70.0,7.193076126396354e-08
71,71.0,7.289874011212476e-08
72,72.0,7.386551008312328e-08
73,73.0,7.483079437839237e-08
74,74.0,7.579454032671855e-08
75,75.0,7.675669504973148e-08
76,76.0,7.771723538807767e-08
77,77.0,7.867467795372675e-08
78,78.0,7.962865444493846e-08
79,79.0,8.05807616260526e-08
80,80.0,8.153126140069222e-08
81,81.0,8.247990639150732e-08
82,82.0,8.34267035861282e-08
83,83.0,8.437180953231169e-08
84,84.0,8.531522219129713e-08
85,85.0,8.625710743462571e-08
86,86.0,8.719718293594784e-08
87,87.0,8.813502240208474e-08
88,88.0,8.907054253723453e-08
89,89.0,9.000386951079585e-08
90,90.0,9.093533607258117e-08
91,91.0,9.186527208720504e-08
92,92.0,9.279337039772887e-08
93,93.0,9.371944457410592e-08
94,94.0,9.464400496605235e-08
95,95.0,9.556756744373335e-08
96,96.0,9.648990440944369e-08
97,97.0,9.741060665268269e-08
98,98.0,9.83296928051448e-08
99,99.0,9.924724541950701e-08
100,100.0,1.0016360383651044e-07
101,101.0,1.0107865763011715e-07
102,102.0,1.0199218983879571e-07
103,103.0,1.0290421006643899e-07
104,104.0,1.03814529834196e-07
105,105.0,1.047229659302128e-07
106,106.0,1.0562986411398841e-07
107,107.0,1.065359409768376e-07
108,108.0,1.0744119105444539e-07
109,109.0,1.083454626523816e-07
110,110.0,1.092481097661752e-07
111,111.0,1.1014861297029879e-07
112,112.0,1.1104794679597541e-07
113,113.0,1.119463876535522e-07
114,114.0,1.128434766231756e-07
115,115.0,1.137386513108842e-07
116,116.0,1.146316618940562e-07
117,117.0,1.1552288212881901e-07
